期号,开奖日期,前区1,前区2,前区3,前区4,前区5,后区1,后区2
7001,2007/5/30,22,24,29,31,35,4,11
7002,2007/6/2,15,22,31,34,35,5,12
7003,2007/6/4,3,4,18,23,32,1,6
7004,2007/6/6,6,10,16,17,25,2,4
7005,2007/6/9,1,9,19,20,30,2,11
7006,2007/6/11,1,16,20,23,28,3,6
7007,2007/6/13,14,16,25,26,35,4,9
7008,2007/6/16,2,8,11,21,23,4,7
7009,2007/6/18,1,3,9,19,34,9,12
7010,2007/6/20,6,8,18,29,34,9,11
7011,2007/6/23,29,32,33,34,35,9,10
7012,2007/6/25,3,12,15,29,34,7,11
7013,2007/6/27,12,17,27,29,34,6,9
7014,2007/6/30,1,2,7,29,32,6,7
7015,2007/7/2,2,8,12,13,17,11,12
7016,2007/7/4,1,14,19,24,31,3,12
7017,2007/7/7,13,14,29,32,34,3,12
7018,2007/7/9,3,4,16,23,28,6,9
7019,2007/7/11,3,6,17,22,23,4,6
7020,2007/7/14,2,6,11,12,18,5,12
7021,2007/7/16,2,4,24,29,33,1,2
7022,2007/7/18,8,10,12,23,25,3,10
7023,2007/7/21,8,10,23,32,34,8,10
7024,2007/7/23,6,16,20,25,31,4,9
7025,2007/7/25,22,24,26,27,34,2,10
7026,2007/7/28,5,9,13,33,35,1,8
7027,2007/7/30,2,3,10,19,27,6,10
7028,2007/8/1,20,26,30,34,35,3,10
7029,2007/8/4,15,22,25,29,35,9,11
7030,2007/8/6,11,14,27,33,35,2,7
7031,2007/8/8,3,21,27,31,32,6,8
7032,2007/8/11,1,13,21,23,32,4,11
7033,2007/8/13,1,5,8,14,22,3,12
7034,2007/8/15,6,8,11,13,22,2,11
7035,2007/8/18,7,11,16,31,32,1,12
7036,2007/8/20,15,18,21,27,34,1,2
7037,2007/8/22,1,6,7,17,31,11,12
7038,2007/8/25,6,21,25,27,32,8,9
7039,2007/8/27,10,11,20,21,35,7,11
7040,2007/8/29,5,21,25,28,35,1,4
7041,2007/9/1,3,16,17,22,35,1,8
7042,2007/9/3,7,10,22,31,35,5,6
7043,2007/9/5,4,9,22,24,31,2,6
7044,2007/9/8,4,5,7,12,26,1,10
7045,2007/9/10,9,16,20,26,35,11,12
7046,2007/9/12,4,16,18,23,30,1,10
7047,2007/9/15,1,6,15,19,35,2,9
7048,2007/9/17,8,25,26,29,35,6,8
7049,2007/9/19,9,10,15,17,32,4,6
7050,2007/9/22,13,21,22,30,35,1,11
7051,2007/9/24,3,7,24,28,35,8,11
7052,2007/9/26,1,14,29,32,33,5,10
7053,2007/9/29,11,16,19,21,25,1,10
7054,2007/10/1,4,10,19,29,34,3,6
7055,2007/10/3,10,16,24,31,33,7,10
7056,2007/10/6,4,11,17,20,21,5,9
7057,2007/10/8,14,16,30,32,35,6,7
7058,2007/10/10,8,21,25,28,33,2,6
7059,2007/10/13,4,15,23,31,33,3,9
7060,2007/10/15,12,13,29,30,31,4,7
7061,2007/10/17,2,10,19,28,29,2,9
7062,2007/10/20,1,4,10,14,29,11,12
7063,2007/10/22,10,31,33,34,35,7,12
7064,2007/10/24,2,16,32,33,35,5,10
7065,2007/10/27,19,20,24,29,31,9,10
7066,2007/10/29,4,7,8,19,24,7,12
7067,2007/10/31,11,18,25,30,31,4,9
7068,2007/11/3,4,9,13,14,33,6,10
7069,2007/11/5,2,13,16,21,35,1,5
7070,2007/11/7,7,26,29,30,35,3,4
7071,2007/11/10,10,22,32,33,35,1,7
7072,2007/11/12,21,24,26,27,33,1,5
7073,2007/11/14,4,5,9,12,23,2,11
7074,2007/11/17,16,17,23,24,31,5,10
7075,2007/11/19,5,11,20,30,32,7,11
7076,2007/11/21,2,9,12,15,31,9,10
7077,2007/11/24,4,6,12,13,24,1,4
7078,2007/11/26,9,12,14,22,23,1,2
