期号,开奖日期,前区1,前区2,前区3,前区4,前区5,后区1,后区2
25032,2025/3/26,12,22,25,27,28,1,2
25033,2025/3/28,1,2,8,10,33,10,12
25034,2025/3/31,4,15,22,28,33,6,8
25035,2025/4/2,22,25,28,29,30,4,8
25036,2025/4/5,4,7,13,27,30,2,6
25037,2025/4/7,5,20,23,27,31,4,6
25038,2025/4/9,7,8,20,26,34,8,9
25039,2025/4/12,3,7,14,15,19,6,10
25040,2025/4/14,2,8,16,31,32,4,12
25041,2025/4/16,3,4,21,22,27,5,11
25042,2025/4/19,6,8,11,18,20,5,11
25043,2025/4/21,3,16,20,21,27,9,11
25044,2025/4/23,15,17,21,22,26,2,8
25045,2025/4/26,8,11,21,23,27,3,8
25046,2025/4/28,4,10,15,20,34,4,7
25047,2025/4/30,3,10,11,12,21,2,3
25048,2025/5/3,2,6,17,23,35,6,11
25049,2025/5/5,9,20,22,29,34,3,8
25050,2025/5/7,15,18,20,21,34,4,10
25051,2025/5/10,2,4,13,29,31,5,12
25052,2025/5/12,2,4,11,29,30,2,6
25053,2025/5/14,14,23,29,30,33,6,12
25054,2025/5/17,3,12,16,21,29,1,2
25055,2025/5/19,8,10,25,29,30,1,2
25056,2025/5/21,12,15,28,29,32,8,11
25057,2025/5/24,9,10,11,12,29,1,10
25058,2025/5/26,6,11,15,21,23,1,7
25059,2025/5/28,3,9,10,11,26,1,2
25060,2025/5/31,12,14,19,33,34,1,7
25061,2025/6/2,2,11,16,23,28,5,10
25062,2025/6/4,14,20,27,28,29,6,10
25063,2025/6/7,5,18,26,29,32,7,10
25064,2025/6/9,5,10,18,20,34,1,8
25065,2025/6/11,7,25,32,33,35,4,9
25066,2025/6/14,15,18,27,28,34,3,6
25067,2025/6/16,6,10,12,21,22,1,6
25068,2025/6/18,1,4,17,20,22,4,10
25069,2025/6/21,4,6,7,33,34,9,10
25070,2025/6/23,8,9,15,20,22,4,12
25071,2025/6/25,1,8,25,31,33,5,11
25072,2025/6/28,4,7,15,24,29,1,4
25073,2025/6/30,1,4,17,33,34,3,9
25074,2025/7/2,2,11,15,18,21,5,10
25075,2025/7/5,8,12,16,19,35,6,9
25076,2025/7/7,11,18,22,25,29,4,12
25077,2025/7/9,12,14,16,19,28,1,4
25078,2025/7/12,7,10,15,21,24,5,6
25079,2025/7/14,2,14,32,34,35,5,11
25080,2025/7/16,9,10,18,22,24,3,12
25081,2025/7/19,1,4,6,15,18,2,3
25082,2025/7/21,2,3,4,12,26,1,8
25083,2025/7/23,12,17,18,20,34,2,5
25084,2025/7/26,9,11,13,18,29,4,11
25085,2025/7/28,2,5,9,14,33,4,9
25086,2025/7/30,2,6,23,24,33,1,10
25087,2025/8/2,5,13,14,16,20,3,8
25088,2025/8/4,8,9,10,11,35,5,11
25089,2025/8/6,2,11,12,32,34,3,10
25090,2025/8/9,6,14,19,22,27,1,4
25091,2025/8/11,1,19,22,25,27,3,10
25092,2025-08-13,4,10,17,25,32,5,7
25093,2025-08-16,1,7,9,16,30,2,5
25094,2025-08-18,4,9,17,30,33,5,9
25095,2025-08-20,7,13,14,19,27,6,10
25096,2025-08-23,2,11,17,22,24,7,9
25097,2025-08-25,5,24,25,32,34,1,9
25098,2025-08-27,1,7,9,10,23,10,12
25099,2025-08-30,6,12,20,26,31,2,4
25100,2025-09-01,26,28,32,34,35,2,7
